ID,county,謝長廷,馬英九,,
6300300-016,臺北市大安區錦安里,613,1673,,
6300300-017,臺北市大安區福住里,1673,1336,,
6300300-018,臺北市大安區永康里,1336,2578,,
6300300-019,臺北市大安區光明里,2578,1079,,
6300300-020,臺北市大安區錦泰里,1079,2162,,
6300300-021,臺北市大安區錦華里,2162,1522,,
6300300-022,臺北市大安區龍圖里,1522,3426,,
6300300-023,臺北市大安區新龍里,3426,1829,,
6300300-026,臺北市大安區龍陣里,1829,3775,,
6300300-027,臺北市大安區龍雲里,3775,1016,,
6300300-028,臺北市大安區龍生里,1016,1396,,
6300300-029,臺北市大安區住安里,1396,1278,,
6300300-030,臺北市大安區義安里,1278,1894,,
6300300-031,臺北市大安區通化里,1894,920,,
6300300-032,臺北市大安區通安里,920,1557,,
6300300-033,臺北市大安區臨江里,1557,1525,,
6300300-034,臺北市大安區法治里,1525,1936,,
6300300-035,臺北市大安區全安里,1936,1431,,
6300300-036,臺北市大安區群賢里,1431,1429,,
6300300-037,臺北市大安區群英里,1429,1204,,
6300300-038,臺北市大安區虎嘯里,1204,1625,,
6300300-039,臺北市大安區臥龍里,1625,1565,,
6300300-040,臺北市大安區龍淵里,1565,2198,,
6300300-041,臺北市大安區龍門里,2198,1199,,
6300300-043,臺北市大安區大學里,1199,2458,,
6300300-044,臺北市大安區芳和里,2458,1367,,
6300300-046,臺北市大安區黎元里,1367,2013,,
6300300-047,臺北市大安區黎孝里,2013,675,,
6300300-048,臺北市大安區黎和里,675,2120,,
6300300-049,臺北市大安區建安里,2120,1610,,
6300300-050,臺北市大安區建倫里,1610,3302,,
6300300-051,臺北市大安區敦安里,3302,525,,
6300300-052,臺北市大安區正聲里,525,927,,
6300300-053,臺北市大安區敦煌里,927,1373,,
6300300-054,臺北市大安區華聲里,1373,2920,,
6300300-055,臺北市大安區車層里,2920,1391,,
6300300-056,臺北市大安區光信里,1391,2143,,
6300300-057,臺北市大安區學府里,2143,1158,,
6300800-001,臺北市文山區景行里,1158,1942,,
6300800-002,臺北市文山區景東里,1942,2099,,
6300800-003,臺北市文山區景美里,2099,3260,,
6300800-004,臺北市文山區景慶里,3260,1646,,
6300800-005,臺北市文山區景仁里,1646,2631,,
6300800-006,臺北市文山區景華里,2631,1181,,
6300800-007,臺北市文山區萬有里,1181,1934,,
6300800-008,臺北市文山區萬祥里,1934,910,,
6300800-009,臺北市文山區萬隆里,910,2314,,
6300800-010,臺北市文山區萬年里,2314,1311,,
6300800-011,臺北市文山區萬和里,1311,3184,,
6300800-012,臺北市文山區萬盛里,3184,1830,,
6300800-013,臺北市文山區興豐里,1830,4233,,
6300800-014,臺北市文山區興光里,4233,1010,,
6300800-015,臺北市文山區興家里,1010,2347,,
6300800-016,臺北市文山區興得里,2347,1161,,
6300800-017,臺北市文山區興業里,1161,3401,,
6300800-018,臺北市文山區興安里,3401,1674,,
6300800-019,臺北市文山區興福里,1674,3526,,
6300800-020,臺北市文山區興旺里,3526,1015,,
6300800-021,臺北市文山區興泰里,1015,2155,,
6300800-022,臺北市文山區興昌里,2155,851,,
6300800-023,臺北市文山區試院里,851,2013,,
6300800-024,臺北市文山區華興里,2013,1452,,
6300800-025,臺北市文山區明義里,1452,3421,,
6300800-026,臺北市文山區明興里,3421,810,,
6300800-027,臺北市文山區木柵里,810,1429,,
6300800-028,臺北市文山區木新里,1429,824,,
6300800-029,臺北市文山區順興里,824,1785,,
6300800-038,臺北市文山區忠順里,1785,1462,,
6300800-030,臺北市文山區樟林里,1462,3157,,
6300800-031,臺北市文山區樟新里,3157,1073,,
6300800-032,臺北市文山區樟腳里,1073,2195,,
6300800-033,臺北市文山區萬芳里,2195,332,,
6300800-039,臺北市文山區萬美里,332,1304,,
6300800-034,臺北市文山區博嘉里,1304,812,,
6300800-035,臺北市文山區萬興里,812,1094,,
6300800-036,臺北市文山區指南里,1094,1100,,
6300800-037,臺北市文山區老泉里,1100,1769,,
6400400-001,高雄市楠梓區清豐里,1769,755,,
6400400-002,高雄市楠梓區東寧里,755,1273,,
6400400-003,高雄市楠梓區五常里,1273,1444,,
6400400-004,高雄市楠梓區享平里,1444,1686,,
6400400-005,高雄市楠梓區中陽里,1686,553,,
6400400-006,高雄市楠梓區惠楠里,553,927,,
6400400-007,高雄市楠梓區惠民里,927,1364,,
6400400-008,高雄市楠梓區惠豐里,1364,2012,,
6400400-009,高雄市楠梓區錦屏里,2012,881,,
6400400-010,高雄市楠梓區玉屏里,881,1419,,
6400400-011,高雄市楠梓區金田里,1419,1916,,
6400400-012,高雄市楠梓區稔田里,1916,2072,,
6400400-013,高雄市楠梓區瑞屏里,2072,989,,
6400400-014,高雄市楠梓區翠屏里,989,1347,,
6400400-015,高雄市楠梓區宏南里,1347,974,,
6400400-016,高雄市楠梓區宏毅里,974,1472,,
6400400-017,高雄市楠梓區宏榮里,1472,1099,,
6400400-018,高雄市楠梓區廣昌里,1099,1775,,
6400400-019,高雄市楠梓區久昌里,1775,1082,,
6400400-020,高雄市楠梓區大昌里,1082,1357,,
6400400-021,高雄市楠梓區福昌里,1357,1424,,
6400400-022,高雄市楠梓區盛昌里,1424,1789,,
6400400-023,高雄市楠梓區泰昌里,1789,318,,
6400400-024,高雄市楠梓區興昌里,318,2308,,
6400400-025,高雄市楠梓區建昌里,2308,2100,,
6400400-026,高雄市楠梓區宏昌里,2100,4091,,
6400400-027,高雄市楠梓區和昌里,4091,1054,,
6400400-028,高雄市楠梓區慶昌里,1054,1779,,
6400400-029,高雄市楠梓區隆昌里,1779,2051,,
6400400-030,高雄市楠梓區秀昌里,2051,3567,,
6400400-031,高雄市楠梓區裕昌里,3567,465,,
6400400-032,高雄市楠梓區國昌里,465,328,,
6400400-033,高雄市楠梓區加昌里,328,1399,,
6400400-034,高雄市楠梓區仁昌里,1399,2613,,
6400400-035,高雄市楠梓區藍田里,2613,498,,
6400400-036,高雄市楠梓區中興里,498,1320,,
6400400-037,高雄市楠梓區中和里,1320,1519,,
6400300-001,高雄市左營區進學里,1519,1779,,
6400300-002,高雄市左營區尾西里,1779,1635,,
6400300-003,高雄市左營區頂北里,1635,1775,,
6400300-004,高雄市左營區中北里,1775,1802,,
6400300-005,高雄市左營區中南里,1802,2240,,
6400300-006,高雄市左營區廟東里,2240,1508,,
6400300-007,高雄市左營區廟北里,1508,1679,,
6400300-008,高雄市左營區尾南里,1679,1620,,
6400300-009,高雄市左營區尾北里,1620,1844,,
6400300-011,高雄市左營區屏山里,1844,1576,,
6400300-012,高雄市左營區祥和里,1576,2090,,
6400300-013,高雄市左營區永清里,2090,2437,,
#N/A,高雄市左營區復興里,2437,2888,高雄市,
6400300-015,高雄市左營區莒光里,2888,1199,,
6400300-016,高雄市左營區光輝里,1199,1474,,
6400300-017,高雄市左營區合群里,1474,2113,,
6400300-019,高雄市左營區明建里,2113,2810,,
6400300-021,高雄市左營區頂西里,2810,1805,,
6400300-022,高雄市左營區聖后里,1805,2622,,
6400300-023,高雄市左營區聖西里,2622,2230,,
6400300-024,高雄市左營區聖南里,2230,2875,,
6400300-025,高雄市左營區城南里,2875,1614,,
6400300-026,高雄市左營區路東里,1614,1722,,
6400300-027,高雄市左營區?北里,1722,1458,高雄市,
6400300-028,高雄市左營區?南里,1458,1727,高雄市,
6400300-029,高雄市左營區埤西里,1727,1400,,
6400300-030,高雄市左營區埤北里,1400,1840,,
6400300-031,高雄市左營區埤東里,1840,917,,
6400300-032,高雄市左營區海勝里,917,1407,,
6400300-034,高雄市左營區崇實里,1407,1505,,
6400300-035,高雄市左營區自助里,1505,2306,,
6400300-036,高雄市左營區果貿里,2306,702,,
6400300-037,高雄市左營區果惠里,702,2777,,
6400300-038,高雄市左營區果峰里,2777,1205,,
6400300-039,高雄市左營區新下里,1205,1422,,
6400300-040,高雄市左營區新上里,1422,911,,
6400300-041,高雄市左營區新中里,911,1428,,
6400300-042,高雄市左營區新光里,1428,820,,
6400300-043,高雄市左營區菜公里,820,1109,,
6400300-044,高雄市左營區福山里,1109,1712,,
6400200-001,高雄市鼓山區鼓峰里,1712,2118,,
6400200-002,高雄市鼓山區雄峰里,2118,873,,
6400200-003,高雄市鼓山區前峰里,873,1934,,
6400200-004,高雄市鼓山區光榮里,1934,865,,
6400200-005,高雄市鼓山區民族里,865,1160,,
6400200-006,高雄市鼓山區內惟里,1160,1153,,
6400200-007,高雄市鼓山區建國里,1153,1025,,
6400200-008,高雄市鼓山區忠正里,1025,1475,,
6400200-009,高雄市鼓山區自強里,1475,1543,,
6400200-010,高雄市鼓山區龍井里,1543,1238,,
6400200-011,高雄市鼓山區正德里,1238,1051,,
6400200-012,高雄市鼓山區平和里,1051,1785,,
