Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
萬華區榮德里,6300700-029,林昶佐,時代力量,林郁方,中國國民黨,590,420,2199,2261,3164,71.535
萬華區壽德里,6300700-030,林昶佐,時代力量,林郁方,中國國民黨,595,423,3084,3129,4462,69.75
萬華區雙園里,6300700-012,林昶佐,時代力量,林郁方,中國國民黨,421,321,2724,2776,3964,70.04
萬華區糖廍里,6300700-015,林昶佐,時代力量,林郁方,中國國民黨,636,410,3280,3357,4832,69.57
萬華區騰雲里,6300700-036,林昶佐,時代力量,林郁方,中國國民黨,419,522,1901,1929,2683,71.885
萬華區萬壽里,6300700-002,林昶佐,時代力量,林郁方,中國國民黨,446,444,1790,1825,2995,60.905
萬華區西門里,6300700-003,林昶佐,時代力量,林郁方,中國國民黨,481,491,2040,2079,3310,62.825
萬華區孝德里,6300700-023,林昶佐,時代力量,林郁方,中國國民黨,665,357,2047,2103,2875,73.46
萬華區新安里,6300700-021,林昶佐,時代力量,林郁方,中國國民黨,409,411,4615,4729,7147,65.06
萬華區新和里,6300700-014,林昶佐,時代力量,林郁方,中國國民黨,247,804,5181,5258,7451,69.94
萬華區新起里,6300700-004,林昶佐,時代力量,林郁方,中國國民黨,510,396,3722,3807,5645,68.715
萬華區新忠里,6300700-013,林昶佐,時代力量,林郁方,中國國民黨,320,573,2085,2121,3121,67.8
萬華區興德里,6300700-031,林昶佐,時代力量,林郁方,中國國民黨,513,404,2851,2892,4137,69.17
萬華區忠德里,6300700-022,林昶佐,時代力量,林郁方,中國國民黨,435,274,2554,2596,3701,69.38
萬華區忠貞里,6300700-034,林昶佐,時代力量,林郁方,中國國民黨,244,712,2943,3008,4290,68.88
文山區博嘉里,6300800-034,賴士葆,中國國民黨,李慶元,無,297,269,3119,3189,4734,67.995
文山區華興里,6300800-024,賴士葆,中國國民黨,李慶元,無,537,375,4977,5080,7288,69.64
文山區景東里,6300800-002,賴士葆,中國國民黨,李慶元,無,502,297,3843,3905,5785,67.1
文山區景華里,6300800-006,賴士葆,中國國民黨,李慶元,無,423,306,3319,3376,4841,69.805
文山區景美里,6300800-003,賴士葆,中國國民黨,李慶元,無,464,371,2930,2979,4254,70.06
文山區景慶里,6300800-004,賴士葆,中國國民黨,李慶元,無,433,308,3616,3692,5458,67.625
文山區景仁里,6300800-005,賴士葆,中國國民黨,李慶元,無,443,288,2637,2701,3860,70.6
文山區景行里,6300800-001,賴士葆,中國國民黨,李慶元,無,426,377,3756,3833,5625,68.315
文山區老泉里,6300800-037,賴士葆,中國國民黨,李慶元,無,117,337,503,518,749,69.16
文山區明興里,6300800-026,賴士葆,中國國民黨,李慶元,無,513,351,3850,3937,5849,67.395
文山區明義里,6300800-025,賴士葆,中國國民黨,李慶元,無,427,356,1996,2054,3185,63.21
文山區木柵里,6300800-027,賴士葆,中國國民黨,李慶元,無,653,254,4996,5094,7330,69.77
文山區木新里,6300800-028,賴士葆,中國國民黨,李慶元,無,462,412,5063,5172,8659,66.67
文山區試院里,6300800-023,賴士葆,中國國民黨,李慶元,無,483,313,3957,4023,5768,69.575
